,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
YOL004W,1409.14944764433,0.0502322986980379,0.0743589587572721,0.675537951815729,0.499334047727908,0.827771777052095
YAR003W,589.005257897633,0.0676510806226789,0.10032187062607,0.674340302872095,0.500094986503745,0.827838773804498
YDR022C,145.826907116737,0.107467044599883,0.15954850043817,0.673569756561453,0.500584886215578,0.827838773804498
YDR283C,609.329346858713,0.0624757517901541,0.0927033461331412,0.673932003494523,0.500354544336736,0.827838773804498
YML015C,927.180757683388,-0.0528477245627667,0.0784064211008283,-0.674022915735513,0.500296744815322,0.827838773804498
YMR072W,2250.71711274298,-0.0403954031927208,0.0598743527999302,-0.674669558896141,0.499885728945215,0.827838773804498
YNL014W,187.708244259182,0.100828290506807,0.149692870198205,0.673567754919139,0.500586159155614,0.827838773804498
YPR127W,592.959999662145,0.0606690166941706,0.0900258433157534,0.673906674568793,0.500370648407165,0.827838773804498
YDL076C,627.020680661789,-0.0601932852933891,0.0894461509213622,-0.672955567940635,0.500975558637629,0.827879598363155
YDL150W,2201.06701113461,-0.0453242330852822,0.0673337166677284,-0.673128342356975,0.500865644147415,0.827879598363155
YNCG0024W,0.689244818125573,-1.58438044889462,2.35501412630689,-0.672768978833783,0.501094276020757,0.827879598363155
YPR013C,208.257276114095,-0.0931258425749026,0.138446072870692,-0.672650662051511,0.501169562835667,0.827879598363155
YOL033W,295.110915985282,-0.0840091191672622,0.124953491034844,-0.672323105753291,0.501378023274966,0.82799318583191
YFL048C,1786.13075107153,-0.0432403810405521,0.0643492551755316,-0.671963971029676,0.501606633337641,0.828139976543787
YPL012W,4113.71950872957,0.0368748155695499,0.054903246195863,0.671632701607513,0.501817554442099,0.828257489606884
YBL015W,442.908364467422,0.0797146097988967,0.118821216193399,0.670878588459734,0.502297877533215,0.828709253364631
YDR421W,513.023501552119,0.067668118727835,0.100891827526434,0.670699702709874,0.502411852284149,0.828709253364631
YLR236C,4.29033766878832,0.599663345914287,0.894293085802351,0.670544540078016,0.502510723231396,0.828709253364631
YPL183W-A,75.4254520693062,0.166250207234671,0.248030474042866,0.670281375206898,0.502678437642845,0.828755243368328
YOR150W,490.388864346718,-0.0668473679055857,0.0997934305968569,-0.669857399487889,0.502948698691399,0.828970227236909
YHR187W,643.880509042992,-0.0585919182485239,0.0875527490021321,-0.66921848732696,0.503356114819438,0.829411090501754
YMR109W,1843.87390374752,0.0464101666093562,0.0694340051689243,0.668406877817952,0.503873906372604,0.829802901658912
YMR180C,400.80286145156,0.0702751228931379,0.105125363544852,0.668488750225865,0.503821660575912,0.829802901658912
YDR100W,441.826322952885,-0.0671519272358925,0.100505771811817,-0.668140008532294,0.504044225333554,0.82985281209777
YPL104W,492.375893539444,-0.068726417389309,0.102992302564568,-0.667296639437912,0.50458267253665,0.830508608754435
YNCP0026W,21.3190984446244,-0.280210708685643,0.420145406419077,-0.666937456424656,0.504812084214938,0.830655531133243
YGL084C,891.428937154751,-0.0576056102929537,0.0865072127827583,-0.665905286274985,0.505471641418881,0.831279250468842
YPR174C,384.598473338208,0.0735812596114839,0.110462078622345,0.666122351934445,0.505332898692528,0.831279250468842
YBR013C,40.5766815709818,0.195917959156526,0.295351745602709,0.663337739063388,0.507114271503281,0.833228383020852
YDR229W,735.870222757066,-0.0606906762662889,0.0915097811707552,-0.663215183009142,0.507192748796621,0.833228383020852
